Name (or Code);RIC;ISIN;CUSIP/CINS;SEDOL;Type of Equity;Currency;Exchange;Ex-Dividend Date;Country ofIssuer;Debt / Equity;TRBC Sector;Market Capitalisation(USD)
Netshoes (CAYMAN) Ltd;NETS.K;KYG6455X1079;G6455X107;;Ordinary Shares;US Dollar;NYSE Consolidated;;Brazil;8,00;Internet & Mail Order Department Stores;609.532.617
Magnesita Refratarios SA;MAGG3.SA;BRMAGGACNOR4;P6426L158;B23VRX5;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;05-May-2017;Brazil;2,15;Construction Materials (NEC);561.381.151
Restoque Comercio e Confeccoes de Roupas SA;LLIS3.SA;BRLLISACNOR4;P8086J101;B2R7VR1;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;24-Nov-2014;Brazil;0,89;Apparel & Accessories Retailers (NEC);556.883.338
Randon SA Implementos e Participacoes;RAPT4.SA;BRRAPTACNPR4;P7988W103;B010V49;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;14-Jul-2017;Brazil;2,11;Heavy Machinery & Vehicles (NEC);531.713.070
JSL SA;JSLG3.SA;BRJSLGACNOR2;P6065E101;B5LBY82;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;21-Jan-2016;Brazil;13,56;Ground Freight & Logistics (NEC);525.898.418
Vulcabras Azaleia SA;VULC3.SA;BRVULCACNOR2;P98074118;B1XFXM1;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;26-Apr-2011;Brazil;19,89;Sports & Outdoor Footwear;499.391.189
MRS Logistica SA;MRSA5B.SO;BRMRSAACNPA9;P6986K111;2327246;Preference Shares;Brazilian Real;Sociedade Operadora do Mercado de Ativos;25-Apr-2017;Brazil;1,29;Railway Freight Operators;448.433.852
Santos Brasil Participacoes SA;STBP3.SA;BRSTBPACNOR3;P8338G103;2835545;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;18-Dec-2015;Brazil;0,36;Marine Port Services (NEC);436.185.093
GAEC Educacao SA;ANIM3.SA;BRANIMACNOR6;P4611H116;BFMXX80;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;27-Apr-2017;Brazil;1,18;General Education Services;426.377.887
Marisa Lojas SA;AMAR3.SA;BRAMARACNOR4;P6462B106;B3V89C8;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;30-Apr-2015;Brazil;1,61;Department Stores (NEC);412.018.372
"Valid Solucoes e Servicos de Seguranca em Meios de Pagamento
e Identificacao SA";VLID3.SA;BRVLIDACNOR5;P9656C112;B13NPP2;Ordinary Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;02-May-2017;Brazil;1,10;Specialized Printing Services;399.751.876
Companhia de Ferro Ligas da Bahia Ferbasa;FESA4.SA;BRFESAACNPR5;P3054X117;B07C6Z5;Preference Shares;Brazilian Real;BM&F Bovespa SA Bolsa de Valores Mercadorias e Futuros;18-Jul-2017;Brazil;0,22;Iron & Steel (NEC);354.822.296
