run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,GdpDev.UnempRate,Inflation.UnempRate
135,-1860609242,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,1.5,0.05,-0.44
134,-1860607268,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,1,0.05,-0.45
138,-1860598991,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,1,0.02,-0.32
103,-1860603598,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,1.5,0.06,0.17
142,-1860595502,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,1,0.04,0.23
141,-1860593681,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,0.5,0.03,-0.09
140,-1860592432,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,2,0.03,0.23
119,-1860594478,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,1.5,0.03,0.02
144,-1860585565,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,2,0.05,0.07
109,-1860585563,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,0.5,0.03,0.12
148,-1860581945,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,2,0.04,-0.4
146,-1860579146,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,1,0.03,0.22
147,-1860580140,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,1.5,0.08,0.04
125,-1860579074,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,0.5,0.05,0.09
150,-1860573853,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,1,0.02,-0.28
152,-1860566813,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,2,0.04,-0.14
154,-1860567721,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,1,0.02,-0.35
153,-1860566240,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,0.5,0.05,-0.28
115,-1860568379,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,1.5,0.06,-0.32
156,-1860559727,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,2,0.05,0.21
131,-1860562808,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,1.5,0.05,-0.34
158,-1860554657,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,1,0.04,-0.39
160,-1860553891,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,2,0.04,0.31
159,-1860553771,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,1.5,0.02,0.05
121,-1860551067,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,0.5,0.05,0.22
162,-1860546525,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,1,0.19,0
