run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,GdpGrowth.UnempRate
105,-1860676835,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,0.5,0.42
106,-1860674423,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,1,0.44
104,-1860675206,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,2,0.48
89,-1860673311,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,0.5,0.43
108,-1860669868,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,2,0.4
79,-1860673156,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,1.5,0.48
112,-1860662867,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,2,0.45
111,-1860663061,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,1.5,0.46
110,-1860660773,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,1,0.26
114,-1860657565,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,1,0.45
95,-1860657682,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,1.5,0.42
85,-1860655379,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,0.5,0.43
118,-1860649931,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,1,0.43
116,-1860648463,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,2,0.54
117,-1860648705,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,0.5,0.36
120,-1860643386,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,2,0.43
101,-1860641472,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,0.5,0.45
124,-1860636511,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,2,0.45
123,-1860634212,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,1.5,0.42
122,-1860634939,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,1,0.44
91,-1860637491,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,1.5,0.42
126,-1860629882,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,1,0.4
107,-1860626320,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,1.5,0.38
130,-1860623916,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,1,0.46
129,-1860621894,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,0.5,0.54
128,-1860621147,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,2,0.35
97,-1860618468,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,0.5,0.56
132,-1860615514,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,2,0.47
136,-1860609535,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,2,0.36
113,-1860611202,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,0.5,0.48
135,-1860609242,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,1.5,0.46
134,-1860607268,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,1,0.46
138,-1860598991,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,1,0.32
103,-1860603598,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,1.5,0.46
142,-1860595502,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,1,0.38
141,-1860593681,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,0.5,0.19
140,-1860592432,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,2,0.4
119,-1860594478,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,1.5,0.4
144,-1860585565,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,2,0.3
109,-1860585563,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,0.5,0.24
148,-1860581945,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,2,0.45
146,-1860579146,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,1,0.39
147,-1860580140,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,1.5,0.58
125,-1860579074,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,0.5,0.29
150,-1860573853,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,1,0.37
152,-1860566813,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,2,0.44
154,-1860567721,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,1,0.34
153,-1860566240,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,0.5,0.38
115,-1860568379,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,1.5,0.49
156,-1860559727,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,2,0.44
131,-1860562808,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,1.5,0.44
158,-1860554657,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,1,0.36
160,-1860553891,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,2,0.45
159,-1860553771,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,1.5,0.36
121,-1860551067,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,0.5,0.44
162,-1860546525,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,1,0.62
137,-1860546341,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,0.5,0.26
164,-1860543147,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,2,0.5
166,-1860541339,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,1,0.45
165,-1860540168,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,0.5,0.43
168,-1860534407,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,2,0.43
127,-1860534608,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,1.5,0.28
170,-1860529831,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,1,0.44
172,-1860527522,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,2,0.45
171,-1860525582,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,1.5,0.43
143,-1860530101,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.1,1.5,0.47
174,-1860519276,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,1,0.45
176,-1860514886,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,2,0.42
133,-1860518953,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.04,0.5,0.45
178,-1860513273,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,1,0.38
177,-1860512404,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,0.5,0.42
180,-1860505265,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,2,0.38
149,-1860510458,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,0.5,0.42
182,-1860501910,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,1,0.44
183,-1860498311,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,1.5,0.44
184,-1860498976,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,2,0.46
186,-1860494530,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,1,0.38
139,-1860500579,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.07,1.5,0.4
155,-1860493488,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.07,1.5,0.43
188,-1860490582,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,2,0.35
190,-1860485533,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,1,0.2
189,-1860485887,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,0.5,0.31
192,-1860481406,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,2,0.4
145,-1860481241,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.01,0.5,0.49
194,-1860477732,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,1,0.57
161,-1860478552,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,0.5,0.65
196,-1860475113,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,2,0.56
195,-1860473306,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,1.5,0.48
198,-1860467792,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,1,0.44
200,-1860463781,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,2,0.55
202,-1860461275,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,1,0.42
201,-1860460585,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,0.5,0.45
151,-1860464223,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.04,1.5,0.4
167,-1860463085,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.04,1.5,0.43
204,-1860452850,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,2,0.42
206,-1860450585,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,1,0.39
207,-1860448390,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,1.5,0.44
208,-1860448681,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,2,0.44
173,-1860446609,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,0.5,0.31
157,-1860446915,0.1,0.1,0.5,0.1,6,0.1,0.7,0.4,0.1,0.5,0.44
210,-1860438907,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,1,0.59
212,-1860437644,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,2,0.45
213,-1860435022,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,0.5,0.42
214,-1860434578,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,1,0.48
179,-1860432424,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.01,1.5,0.47
163,-1860428748,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.01,1.5,0.39
216,-1860425340,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,2,0.36
218,-1860424598,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,1,0.4
219,-1860422742,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,1.5,0.39
220,-1860422400,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.07,2,0.47
222,-1860414218,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,1,0.44
185,-1860416168,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,0.5,0.46
224,-1860411199,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,2,0.46
169,-1860413170,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.07,0.5,0.37
225,-1860409485,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,0.5,0.61
226,-1860408356,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,1,0.46
228,-1860400718,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,2,0.45
230,-1860398937,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,1,0.43
231,-1860394462,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,1.5,0.4
232,-1860395427,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.04,2,0.52
191,-1860398332,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.1,1.5,0.39
175,-1860396331,0.1,0.1,0.5,0.1,6,0.1,0.7,0.7,0.1,1.5,0.46
234,-1860385049,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.07,1,0.36
236,-1860385448,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.07,2,0.43
237,-1860382313,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,0.5,0.25
238,-1860380774,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,1,0.45
197,-1860379765,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,0.5,0.53
181,-1860378779,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.04,0.5,0.35
240,-1860371656,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.1,2,0.49
242,-1860371539,0.1,0.1,0.5,0.1,6,0.1,1,1,0.01,1,0.49
243,-1860370454,0.1,0.1,0.5,0.1,6,0.1,1,1,0.01,1.5,0.43
244,-1860369424,0.1,0.1,0.5,0.1,6,0.1,1,1,0.01,2,0.4
203,-1860364910,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,1.5,0.5
187,-1860362206,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,1.5,0.42
246,-1860357738,0.1,0.1,0.5,0.1,6,0.1,1,1,0.04,1,0.45
248,-1860359478,0.1,0.1,0.5,0.1,6,0.1,1,1,0.04,2,0.46
249,-1860357705,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,0.5,0.31
250,-1860356705,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,1,0.48
209,-1860349312,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,0.5,0.64
252,-1860343701,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,2,0.49
193,-1860345247,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,0.5,0.56
254,-1860345199,0.1,0.1,0.5,0.1,6,0.1,1,1,0.1,1,0.31
255,-1860344087,0.1,0.1,0.5,0.1,6,0.1,1,1,0.1,1.5,0.36
256,-1860343206,0.1,0.1,0.5,0.1,6,0.1,1,1,0.1,2,0.49
215,-1860333799,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,1.5,0.45
258,-1860329247,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.01,1,0.43
260,-1860332811,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.01,2,0.43
199,-1860326929,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,1.5,0.42
261,-1860331458,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.04,0.5,0.32
262,-1860329676,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.04,1,0.41
221,-1860320316,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,0.5,0.37
264,-1860316855,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.04,2,0.41
266,-1860318618,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.07,1,0.34
267,-1860318792,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.07,1.5,0.45
268,-1860315722,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.07,2,0.49
205,-1860309781,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,0.5,0.29
227,-1860304659,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,1.5,0.49
