run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,VacanRatio.UnempRate
67,-1860707572,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.01,1.5,-0.88
92,-1860699039,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,2,-0.8
94,-1860699971,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,1,-0.42
96,-1860697909,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,2,-0.97
99,-1860690143,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,1.5,-0.88
98,-1860687770,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,1,-0.96
100,-1860686824,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,2,-0.83
83,-1860690256,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.01,1.5,-0.98
73,-1860690041,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.07,0.5,-0.88
102,-1860683663,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,1,-0.97
105,-1860676835,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,0.5,-0.82
106,-1860674423,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,1,-0.98
104,-1860675206,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,2,-0.77
89,-1860673311,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,0.5,-0.71
108,-1860669868,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,2,-0.95
79,-1860673156,0.1,0.1,0.5,0.1,6,0.1,0.4,0.1,0.1,1.5,-0.73
112,-1860662867,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,2,-0.88
111,-1860663061,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,1.5,-0.89
110,-1860660773,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.1,1,-0.33
114,-1860657565,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,1,-0.98
95,-1860657682,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.1,1.5,-0.95
85,-1860655379,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.04,0.5,-0.95
118,-1860649931,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,1,-0.75
116,-1860648463,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.01,2,-0.86
117,-1860648705,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,0.5,-0.9
120,-1860643386,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.04,2,-0.65
101,-1860641472,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.04,0.5,-0.93
124,-1860636511,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,2,-0.86
123,-1860634212,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,1.5,-0.67
122,-1860634939,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.07,1,-0.72
91,-1860637491,0.1,0.1,0.5,0.1,6,0.1,0.4,0.4,0.07,1.5,-0.79
126,-1860629882,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,1,-0.92
107,-1860626320,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.07,1.5,-0.95
130,-1860623916,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,1,-0.93
129,-1860621894,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,0.5,-0.96
128,-1860621147,0.1,0.1,0.5,0.1,6,0.1,0.4,1,0.1,2,-0.46
97,-1860618468,0.1,0.1,0.5,0.1,6,0.1,0.4,0.7,0.01,0.5,-0.89
132,-1860615514,0.1,0.1,0.5,0.1,6,0.1,0.7,0.1,0.01,2,-0.98
