"GdpGrowth","UnempRate","tick"
2.2385831862620936E-4,0.0,152.0
-0.002127560150018775,0.0,153.0
0.0012353139172426339,0.0,154.0
-3.6795446283265017E-4,0.0,155.0
-0.03785266334327364,0.0,156.0
0.006022269243032794,0.0,157.0
-0.0059862186227390025,0.0,158.0
7.059070174982655E-4,0.0,159.0
4.21024335601301E-6,0.0,160.0
-7.09616319988193E-4,0.0,161.0
0.02058160147893675,0.0,162.0
-0.016578559235087758,0.0,163.0
0.027386035226069808,0.0,164.0
-0.021628560256635114,0.0,165.0
-0.08128187866414151,0.0,166.0
4.2596956157929164E-4,0.0,167.0
-0.0032006892335563666,0.0,168.0
-2.1480294414283522E-4,0.0,169.0
-0.08636481453165185,0.0,170.0
0.02615477726119728,0.0,171.0
-0.026532113428119567,0.0,172.0
